Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
1.488604,Left,0.1069591,2.302291,0.3449526,0.000154478,1.346308,4.815335,1.028742,-0.1908896,0.03434007,0.9933529,0.9980469,1,Text,acticle_2
1.488604,Right,0.1069591,2.302291,0.3449526,-0.2661608,1.343701,4.808703,1.038779,-0.1818769,0.0343743,0.9933227,0.9980469,1,Text,acticle_2
1.502802,Left,0.1126094,2.302764,0.351523,0.000154478,1.346308,4.815335,1.03546,-0.1936578,0.03510794,0.9933532,0.9980469,1,Text,acticle_2
1.502802,Right,0.1126094,2.302764,0.351523,-0.2661608,1.343701,4.808703,1.045589,-0.1850159,0.03515521,0.9933279,0.9980469,1,Text,acticle_2
1.530031,Left,0.121796,2.302904,0.36605,-0.07390094,1.44652,4.785616,1.027628,-0.1989088,0.05971612,0.9856205,0.9980469,1,Text,acticle_2
1.530031,Right,0.121796,2.302904,0.36605,-0.3397383,1.442644,4.775286,1.038029,-0.1898439,0.0597824,0.9855725,0.9980469,1,Text,acticle_2
1.544842,Left,0.1263405,2.302666,0.3731048,-0.07390094,1.44652,4.785616,40.53745,-5.972815,2.341963,39.99798,0.9980469,1,BG,BG
1.544842,Right,0.1263405,2.302666,0.3731048,-0.3397383,1.442644,4.775286,40.9214,-8.108757,2.319082,40.00299,0.9980469,1,BG,BG
1.57111,Left,0.1357425,2.301383,0.3866389,-0.1168067,1.524308,4.76055,40.61903,-6.174189,3.269045,39.99008,0.9980469,1,BG,BG
1.57111,Right,0.1357425,2.301383,0.3866389,-0.3824538,1.52016,4.747931,41.01795,-8.316706,3.243726,39.99963,0.9980469,1,BG,BG
1.586056,Left,0.140119,2.300604,0.3933783,-0.1168067,1.524308,4.76055,40.62911,-6.114444,3.449375,39.98817,0.9980469,1,BG,BG
1.586056,Right,0.140119,2.300604,0.3933783,-0.3824538,1.52016,4.747931,41.01833,-8.255464,3.419209,39.99212,0.9980469,1,BG,BG
1.61319,Left,0.1476937,2.299298,0.4069085,-0.1387388,1.527557,4.75892,40.65344,-6.211082,3.886256,39.96092,0.9980469,1,BG,BG
1.61319,Right,0.1476937,2.299298,0.4069085,-0.4043825,1.524642,4.744675,41.0497,-8.355371,3.861019,39.96619,0.9980469,1,BG,BG
1.627789,Left,0.1511338,2.298576,0.4135294,-0.1609238,1.488214,4.770673,40.67123,-6.354414,3.813271,39.97298,0.9980469,1,BG,BG
1.627789,Right,0.1511338,2.298576,0.4135294,-0.4264824,1.486897,4.754708,41.07307,-8.500865,3.795794,39.97493,0.9980469,1,BG,BG
1.642321,Left,0.1544324,2.297871,0.4200353,-0.1609238,1.488214,4.770673,40.6987,-6.335833,4.07786,39.97177,0.9980469,1,BG,BG
1.642321,Right,0.1544324,2.297871,0.4200353,-0.4264824,1.486897,4.754708,41.0988,-8.483318,4.055491,39.97374,0.9980469,1,BG,BG
1.668638,Left,0.1604349,2.296584,0.4325515,-0.1879973,1.432754,4.786635,40.69768,-6.486486,4.206579,39.9368,0.9980469,1,BG,BG
1.668638,Right,0.1604349,2.296584,0.4325515,-0.453321,1.432971,4.768762,41.10835,-8.635245,4.190329,39.94038,0.9980469,1,BG,BG
1.683619,Left,0.1631792,2.296006,0.4386262,-0.1879973,1.432754,4.786635,40.76205,-6.456237,4.52454,39.9669,0.9980469,1,BG,BG
